x80_percent,x95_percent
1225.011423622093,1230.9887422250406
1229.6884844248639,1238.1416894597774
1233.2773194032484,1243.6303389165803
1236.3028472441858,1248.2574844500812
1238.9683907817466,1252.3340815011118
1241.3782263437363,1256.0196069510037
1243.594298851938,1259.4087973823375
1245.6569688497275,1262.5633789195547
1247.5942708662787,1265.5262266751217
1249.426616671642,1268.3285577574522
1251.169415503438,1270.9939385618268
1252.8346388064967,1273.5406778331608
1254.4318068424413,1275.983335555154
1255.9686386027977,1278.3337169066183
1257.4514956433388,1280.601551047531
1258.8856944883717,1282.7949689001625
1260.2757322574835,1284.920848215406
1261.6254532745913,1286.985068379332
1262.9381744974112,1288.9927022410056
1264.2167815634934,1290.9481630022235
1265.4638034520533,1292.8553184029288
1266.6814713079073,1294.7175806846587
1267.8717653499111,1296.5379783308113
1269.0364526874725,1298.3192139020075
1270.1771181104646,1300.063711125203
1271.2951893852944,1301.7736535806857
1272.391958209745,1303.451016749741
1273.4685977038762,1305.0975947646753
1274.526177112142,1306.7150228937662
1275.5656742416697,1308.3047965639669
1276.5879860487062,1309.8682875514792
1277.593937699455,1311.4067578391093
1278.5842903657121,1312.9213715386622
1279.5597479647438,1314.4132051986956
1280.5209630130773,1315.8832567571214
1281.4685417325575,1317.3324533502437
1282.403048522191,1318.7616581518557
1283.3250098894844,1320.1716763857019
1284.2349179190387,1321.5632606302365
1285.133233343284,1322.9371155149045
1286.0203882697451,1324.2939018911375
1286.8967886106616,1325.634240548135
1287.7628162537258,1326.958715532722
1288.618831006876,1328.2678771236535
1289.46517234524,1329.5622445033353
1290.3021609842897,1330.8423081637543
1291.1301002998784,1332.1085320782393
1291.9492776129935,1333.3613556663213
1292.7599653546504,1334.6011955752842
1293.5624221243188,1335.8284472988867
1294.3568936535346,1337.0434866510832
1295.1436136848827,1338.246671110308
1295.9228047752545,1339.438341047954
1296.6946790312088,1340.6188208530111
1297.4594387833217,1341.788419963391
1298.2172772055956,1342.9474338132363
1298.9683788853067,1344.0961447044256
1299.7129203480517,1345.2348226095605
1300.4510705422222,1346.3637259129096
1301.1829912866779,1347.4831020950621
1301.908837684976,1348.5931883664389
1302.6287585091627,1349.6942122542498
1303.3428965558141,1350.786392147013
1304.0513889767435,1351.8699378003248
1304.75436758654,1352.9450508072039
1305.4519591488965,1354.0119250359885
1306.1442856434844,1355.0707470384868
1306.831464514967,1356.1216964308123
1307.5136089055939,1357.1649462491032
1308.1908278726776,1358.2006632821258
1308.8632265921365,1359.229008382567
1309.5309065491824,1360.2501367586642
1310.1939657171288,1361.2641982476698
1310.852498725212,1362.2713375725127
1311.5065970162418,1363.2716945829018
1312.156348994822,1364.2654044820113
1312.8018401668237,1365.2525980397859
1313.4431532707301,1366.2334017938167
1314.0803684014318,1367.2079382386678
1314.7135631269866,1368.176326004447
1315.3428125988364,1369.1386800253654
1315.968189655914,1370.0951116989586
1316.5897649230585,1371.0457290365969
1317.2076069041066,1371.9906368058573
1317.821782070013,1372.9299366652926
1318.432354942318,1373.8637272920841
1319.0393881722619,1374.792104503034
1319.6429426158145,1375.7151613693175
1320.2430774048828,1376.6329883253823
1320.839850014926,1377.545673272357
1321.4333163291976,1378.4533016763032
1322.0235306998222,1379.3559566616223
1322.6105460058902,1380.253719099904
1323.1944137087496,1381.1466676944883
1323.7751839046578,1382.0348790609894
1324.3529053749453,1382.9184278040148
1324.9276256338349,1383.7973865902968
1325.4993909740463,1384.6718262184415
1326.0682465103139,1385.54181568548
1326.6342362209293,1386.407422250406
1327.1974029874202,1387.2687114948565
1327.7577886324657,1388.1257473810992
1328.315433956142,1388.9785923074664
1328.8703787705888,1389.8273071613714
1329.4226619331794,1390.6719513700386
1329.9723213782725,1391.512582949063
1330.5193941476184,1392.3492585489128
1331.0639164194902,1393.182033499482
